cliente_id,nombre,segmento,score_credito,fecha_alta,ciudad
48,Elizabeth Cunningham,gold,670,2022-09-06,West Matthew
49,Bradley Andrade,silver,473,2024-08-26,East Stephanieton
50,Jeffrey Lynn,bronze,684,2022-05-06,Jaredport
51,Mrs. Dawn Jones,bronze,531,2024-05-30,Kristinshire
52,Loretta Roth,silver,595,2025-08-02,Port Maureenside
53,Timothy Good,gold,456,2023-02-21,East Lisa
54,Gregory Ryan,gold,768,2021-12-21,New Bettyton
55,Steve Perry,silver,827,2022-02-04,North Jasonstad
56,Peter Garcia,gold,606,2021-09-05,Emilyhaven
57,Shelley Lowe,bronze,793,2023-04-14,Chasefort
58,Juan Fitzpatrick,bronze,516,2025-07-02,Gordonchester
59,Jennifer Hughes,silver,452,2025-08-06,Keithmouth
60,Brandon Russell,gold,536,2023-07-06,Port Kennethfurt
61,Jonathan Crawford,bronze,573,2025-05-12,Timothyton
62,Eric Brown,silver,491,2025-10-31,New Evanchester
63,Helen Espinoza,bronze,840,2021-11-29,Smithton
64,Danny Carlson,silver,335,2023-01-04,South Mary
65,Patrick Barrett,bronze,404,2024-03-09,West Angelland
66,Matthew Smith,silver,585,2025-09-10,Solomonburgh
67,Cindy Rangel,gold,424,2025-04-21,East Charlesview
68,Kevin Ford,silver,466,2025-08-23,North Wendymouth
69,James Smith,silver,338,2025-12-04,Juliebury
70,Russell Simmons DVM,bronze,574,2023-08-02,Annaborough
71,Paige Reed,bronze,689,2021-03-07,South Markbury
72,Timothy Johnson,bronze,585,2023-08-08,West Jeffrey
73,Megan Thompson,silver,402,2023-10-16,New Lancebury
74,Elizabeth Rose,bronze,667,2022-07-07,East Teresa
75,Lauren Watson,gold,345,2023-04-10,Port Danielletown
76,Anthony Young,bronze,581,2024-12-30,South Patriciafort
77,Toni Stephens,bronze,378,2022-11-08,East Christopherberg
78,Eduardo Mcdaniel,gold,436,2022-10-19,Freyville
79,Timothy Harrison,silver,437,2023-04-12,Lopezstad
80,Lance Adams,bronze,838,2024-01-25,New Mark
81,Amanda Johnson,gold,427,2024-09-17,Port Erica
82,Carlos Jones,silver,375,2025-05-14,Patelport
83,Daniel Lamb,silver,784,2021-07-27,Beckerfort
84,Dustin Walker,silver,460,2023-08-17,North Christopher
85,Devin Mitchell,silver,831,2025-12-11,East Laura
86,Timothy Armstrong,bronze,529,2023-04-21,Carpenterton
87,Steven Garcia,gold,834,2023-09-21,East Nicole
88,Malik Walton,bronze,721,2021-05-22,Joycemouth
89,Joel Jarvis,gold,846,2024-09-27,Lake Tammychester
90,Kenneth Hall,bronze,683,2023-02-26,Lorimouth
91,Lori Harmon,gold,434,2022-10-19,Sandovalmouth
92,Connor Davis,silver,721,2025-09-27,New Anthony
93,Denise Skinner,gold,558,2024-05-31,East Melissa
94,Mallory Suarez,bronze,585,2024-09-15,East Bruce
95,Kelly Berry,gold,501,2022-10-19,Veronicastad
96,Daniel Davis,silver,454,2022-04-06,Michaelchester
97,Katherine Frazier DVM,gold,785,2023-06-23,New Taylorburgh
98,Belinda Jones,bronze,703,2025-01-12,Nelsonside
99,Donald Moses,bronze,598,2024-03-25,New Sara
100,Thomas Walker,gold,815,2023-01-31,East Brianna
101,Janet Reyes,silver,827,2022-09-08,Whitefort
102,Christine Schmidt,silver,785,2025-02-14,Lake Christian
103,Jeffrey Wilkins,silver,565,2026-01-10,Davisside
104,William Ortiz,gold,464,2025-03-15,Morganmouth
105,Eric Kaiser,silver,691,2021-10-24,Susanmouth
106,Julie Barker,gold,538,2023-06-04,Shanefort
107,Vanessa Johnson,silver,321,2022-05-06,Brownview
108,Nicole Martinez,silver,799,2022-05-09,Snyderfurt
109,Michelle Green,bronze,489,2023-08-03,Lake Michaelton
110,Laura Sosa,bronze,569,2025-04-11,South Daisychester
111,Thomas Wagner,bronze,539,2025-07-29,Tinachester
112,Stephanie Moody,bronze,684,2024-08-09,New Patricia
113,Adam Guerra,bronze,768,2021-10-06,Aaronton
114,Justin Reynolds,gold,777,2023-10-20,Lake Kelsey
115,John Scott,gold,845,2025-02-09,South Johnfurt
116,Tonya Carter,bronze,538,2021-12-03,Williamsview
117,Julia Garcia,silver,541,2023-07-22,Lake Amandaville
118,Richard Strickland,silver,396,2023-10-29,Franciscoville
119,Bryan Wang,gold,600,2025-01-26,Julianbury
120,Melanie Rivera,bronze,390,2022-02-22,Whiteburgh
121,James Cook,silver,314,2024-12-24,Mollyfort
122,Mario Sellers,silver,600,2025-05-14,Christinaborough
123,Autumn Ortiz,gold,413,2022-01-31,South Richardport
124,Joseph Barrera,bronze,761,2025-10-10,New Georgeberg
125,Rebecca Black,gold,439,2021-03-14,Williamstown
126,Peter Garcia,gold,849,2022-09-12,Jarvishaven
127,Julie Walker,silver,635,2024-09-15,East Dawnborough
128,Stephanie Chapman,silver,373,2021-08-26,Rachelport
129,Tyler Mcpherson,silver,387,2023-11-26,East Christopher
130,Cynthia Lee,bronze,545,2021-05-19,East Garyburgh
131,Thomas Knox,silver,667,2026-02-06,East Sarahfort
132,Richard Grant,bronze,423,2026-02-02,New Adrianaside
133,Nicholas Daniels,gold,409,2024-07-10,North Julian
134,Katherine Potts,silver,377,2025-10-01,Wrighttown
135,Tina May,silver,535,2025-03-22,North Megan
136,Kristen Kelly,gold,630,2022-08-18,Lake Joseburgh
137,Heather Elliott,gold,687,2023-07-23,Amytown
138,David Fox,bronze,731,2025-06-07,North Ryanland
139,Kevin Hoover,silver,742,2024-04-22,Suetown
140,Justin Gomez,gold,407,2025-12-07,Christytown
141,Michael Levine,bronze,771,2022-09-04,South Julieton
142,Karen Stewart,bronze,613,2025-04-27,Woodsmouth
143,Shelby Hall,gold,441,2022-10-23,Sandrashire
144,Anita King,bronze,429,2024-04-08,Charlesside
145,Cody Vega,bronze,708,2025-07-05,West Eileenview
146,James Cook,silver,531,2024-07-03,Davidtown
147,Dr. Deborah Cruz MD,silver,518,2025-04-28,East Diane
148,Nancy Rasmussen,silver,651,2024-10-28,South Wayne
149,Dylan Curry,gold,737,2021-03-16,North Cristinahaven
150,Joseph Brown,gold,610,2024-02-22,Moralesview
151,Sheila Scott,gold,404,2025-05-31,Michellechester
152,David Grant,gold,329,2026-02-14,Kennethport
153,Jacob Roy,gold,660,2024-03-22,Nicoleland
154,Jeffrey Christensen,bronze,384,2023-02-03,East Ryan
155,Rhonda Miller,silver,803,2025-03-13,South Mckenziebury
156,Deanna Oconnell,silver,625,2023-02-27,West Pamela
157,Tammy Johnson,bronze,348,2025-02-16,Josephmouth
158,Natalie Black,silver,428,2023-08-13,West Laurieland
159,Michele Singh,bronze,390,2023-01-21,West Nicholas
160,Mrs. Melissa Vasquez,gold,842,2022-09-18,East Zachary
161,Dominic Hayden,gold,608,2022-02-01,Khanmouth
162,Kelly Bailey,silver,746,2022-09-17,Fergusonshire
163,Michael Kline,gold,741,2025-12-25,North Davidtown
164,Kyle Clark,gold,691,2022-01-12,East John
165,Larry Hart,silver,400,2022-06-24,Randymouth
166,Robert Baird,bronze,387,2022-09-01,East Ambermouth
167,Taylor Hester,bronze,844,2026-01-29,Lake Rebecca
168,Richard Allen,bronze,484,2023-07-31,Alexanderfurt
169,Gina Fernandez,gold,597,2025-12-02,Lake Benjamin
170,Lauren Johnson,bronze,524,2021-03-29,Elizabethton
171,Sydney Mejia,silver,412,2023-07-30,Williamton
172,Bianca Warner,gold,365,2026-02-12,Lake Sheilaville
173,Michael Leach,silver,551,2024-05-06,Hillhaven
174,Susan Barber,bronze,570,2025-09-27,Thompsonchester
175,Jacob Rodriguez,silver,703,2022-02-11,Chenville
176,Natalie Anderson,bronze,374,2022-11-21,Claymouth
177,Ronald Marks,gold,583,2021-06-05,South Kevinmouth
178,Shannon Horton,silver,731,2022-05-17,South Jessicastad
179,Andrea Kramer,bronze,364,2022-10-25,Lake David
180,Kevin Mitchell,gold,736,2021-06-15,Justinton
181,Olivia Thomas,silver,630,2025-04-22,Guerrashire
182,Michael Walker,gold,552,2024-06-20,East Margaret
183,Ashley Reeves,silver,400,2023-11-27,South Jennifertown
184,Barbara Foster,silver,572,2023-06-08,Luisfurt
185,Bradley Robertson,silver,564,2023-12-11,Lake Garrettside
186,David Singleton,silver,555,2021-04-22,Deborahshire
187,Susan May,bronze,542,2025-05-15,Moorebury
188,Emily Salazar,gold,494,2025-12-25,Port Garyton
189,Jeanne Harris,gold,439,2024-08-28,Port Mary
190,Kelly Taylor,bronze,721,2021-12-27,Jamesfurt
191,Julie Kelley,gold,635,2022-12-23,Port Brianchester
192,Christopher Nguyen,bronze,623,2025-12-05,South William
193,Curtis Smith,bronze,682,2022-07-13,South George
194,Karen Jones,silver,515,2021-04-07,New Diana
195,David Horton,silver,368,2025-09-22,Kimberlyview
196,Michelle Wagner,bronze,650,2024-02-19,Brandonville
197,Darin Harrell,gold,560,2024-08-16,Lake Laurenberg
198,Donald Hernandez,bronze,605,2025-04-05,South Vanessatown
199,Charles Hines,silver,601,2021-11-12,Gamblehaven
200,Hunter Morris,silver,485,2023-10-05,Josefort
201,Jennifer Munoz,silver,663,2025-03-13,North Justin
202,Lisa Perez,gold,392,2022-10-24,Port Timothyview
203,William Bryant,bronze,683,2021-12-27,South Destiny
204,Michael Carter,bronze,709,2022-02-09,Lake Maria
205,Betty Russell,silver,540,2022-12-18,Lake Tina
206,William Barber,silver,818,2025-08-08,North Audreymouth
207,Chad Bailey,bronze,734,2025-07-26,South Sheila
208,Laura Hall,gold,356,2024-04-27,Greeneshire
209,Alan Montoya,bronze,320,2024-08-18,New Geraldmouth
210,Bruce James,silver,433,2024-01-28,South Erikview
211,Heidi Gonzales,gold,619,2023-12-29,North Cynthia
212,Stephen Powell,silver,569,2025-12-19,Perezmouth
213,Christopher Mcmahon,gold,496,2023-02-08,Debraport
214,Tammy Johnson,gold,398,2022-03-23,North Robert
215,Jennifer Warren,gold,723,2025-02-22,Patrickfort
216,Laura Wong,bronze,589,2023-11-09,South Martinburgh
217,Matthew Miller,silver,729,2025-06-25,Brianland
218,William Lane,silver,590,2021-05-23,Tamihaven
219,Kevin Patel,bronze,679,2023-09-15,North Jamiechester
220,Scott Joseph,gold,704,2023-01-16,Medinaland
221,Jean Reynolds,gold,507,2023-02-28,Port Cherylmouth
222,Jack Mathis,gold,313,2022-11-28,New Nicolasport
223,Nicole Harris,silver,621,2025-02-11,Lake Jamesbury
224,Cynthia Parker,gold,529,2024-01-04,West Xavierstad
225,Bridget Holmes,gold,430,2025-02-21,Port Benjaminfort
226,James Coleman,gold,733,2024-12-08,Garyfort
227,William Taylor,silver,785,2024-08-08,Sanchezfurt
228,Victoria Finley,bronze,457,2025-03-01,Lake Brent
229,Samantha Thomas,bronze,506,2024-06-05,Gutierrezbury
230,Marc Moore,bronze,440,2021-09-24,Cherylbury
231,Anthony Ramirez,bronze,727,2022-12-02,South David
232,Brandon Green,gold,406,2021-12-22,Ramirezberg
233,Brittney Moore,gold,694,2023-02-24,North Justinville
234,Tina Scott,bronze,427,2022-05-10,East Joannaland
235,Crystal Lee,gold,685,2021-04-24,Hoodmouth
236,David Williams,silver,825,2023-11-16,New Mark
237,Brandon Lopez,gold,746,2022-03-14,West Jamesstad
238,James Beard,gold,330,2022-07-12,West Christopherbury
239,James Smith,bronze,372,2025-05-13,Patrickbury
240,Christopher Rios DDS,bronze,662,2021-12-20,Melanieburgh
241,Patricia Byrd,bronze,457,2021-06-27,Brookston
242,Mark Mason,gold,616,2025-10-13,Carrilloborough
243,Shannon Bennett,gold,777,2024-01-30,Webbberg
244,Stephen Davis,silver,334,2023-03-03,North David
245,Anthony Smith,silver,841,2023-08-12,West Michaelshire
246,Matthew Murphy,gold,718,2025-01-20,Port Amber
247,Christopher Francis,gold,623,2021-09-06,West Markhaven
248,Shawn Petersen,gold,334,2025-06-01,Cherylfort
249,Steven Kennedy,silver,447,2025-05-21,Port Justintown
250,Carol Hinton,bronze,839,2024-01-26,South Johnfort
251,Danielle Ray,silver,826,2024-09-10,West Kayla
252,Adam Newman,silver,734,2022-09-18,East Wendyfort
253,Joel Johnson,bronze,691,2024-08-11,South Albert
254,Rachel Anthony,gold,545,2021-07-21,New Cindystad
255,Brittany Bailey,gold,643,2021-05-05,Brandonfurt
256,Jordan Crawford,gold,341,2026-01-15,East Antonio
257,Jennifer Adams,gold,300,2024-11-03,North Leestad
258,Juan Daniels,bronze,694,2023-05-30,Charlesmouth
259,Brandon Lee,gold,777,2022-02-20,Nelsonside
260,Erin Nixon,gold,709,2022-02-13,Camposchester
261,Joel Butler,gold,493,2022-05-13,Keithville
262,Emily Ferrell,gold,657,2021-12-23,New Danielletown
263,Holly Robinson DDS,silver,389,2024-12-15,Charlesview
264,Victoria Hall,silver,475,2022-11-01,Amyfurt
265,Barbara Williams,bronze,349,2021-10-10,West Crystalton
266,Savannah Kirby,silver,788,2025-03-25,North Patrickmouth
267,Christopher Rodriguez,gold,376,2025-09-18,Port Anthonymouth
268,Jorge Bentley,bronze,564,2021-10-13,Port Jacobmouth
269,Brittany Alvarez,gold,756,2024-10-17,East Scottstad
270,Kimberly Moran,bronze,765,2023-06-10,North Rachel
271,Benjamin Young,bronze,650,2022-07-13,Port Pamelahaven
272,Tracey Hernandez,silver,419,2023-03-27,Kramerbury
273,Matthew Barrett,silver,520,2024-07-18,Michaelbury
274,Cheryl Garcia,gold,778,2024-10-09,Port Aaronport
275,Eric Lee,bronze,349,2024-02-09,North Mark
276,Calvin Garcia,silver,380,2024-06-24,Port Mariah
277,Norma Knapp,bronze,438,2023-05-20,West Vincent
278,Lisa Martin,bronze,581,2024-12-31,Loristad
279,Matthew Gilbert,gold,459,2026-02-25,Angelaburgh
280,Taylor Johnson DDS,gold,458,2024-06-07,Valeriemouth
281,Rebecca Brooks,bronze,510,2024-07-02,West Charles
282,Kristine Lyons,silver,697,2025-12-24,Mackfurt
283,Ashlee Eaton,bronze,711,2021-05-09,New Dustinport
284,Elizabeth Parker,bronze,646,2023-08-09,Amyville
285,Jennifer Johnson,gold,533,2023-01-12,West Antonio
286,John Davis,gold,745,2022-03-03,Gileschester
287,Kristin Weiss,silver,301,2025-06-27,Smithmouth
288,Scott Spencer,gold,349,2022-05-12,Rhondamouth
289,Christine Wilson,gold,739,2025-08-09,North Jessica
290,Alexander Moore,gold,504,2022-10-25,Figueroabury
291,Wesley Austin,gold,407,2022-02-20,Lake Mark
292,Casey Blair,gold,767,2022-11-07,Sandersshire
293,Kelsey Lee,bronze,732,2025-08-19,West Phillip
294,Nicole Hickman,gold,541,2021-08-27,Samanthachester
295,Natalie Martin,gold,326,2024-04-11,Port Gavinfurt
296,John Turner,gold,622,2022-11-30,Lewisbury
297,Charles Torres,gold,559,2022-12-03,Washingtonfort
298,Kristy Tran,bronze,785,2026-02-28,New Juliefurt
299,Don Campbell,bronze,352,2023-12-21,Mccormickview
300,Joseph Quinn,bronze,771,2024-01-24,North Lauren
301,Jennifer Chapman,silver,428,2023-05-31,Michelleburgh
302,Rita Butler,silver,310,2022-09-16,Lake Dustin
303,Brittany Black,gold,761,2025-09-27,Roychester
304,Maria Curtis,bronze,688,2021-04-14,Port Pamelaburgh
305,Bryan Koch,gold,424,2025-05-30,Danielstad
306,Christy Li,silver,635,2024-11-04,Kyleview
307,Susan Taylor,gold,370,2023-02-21,Maryton
308,Stephen Hester,bronze,688,2022-09-29,Erictown
309,Sharon Sullivan,bronze,588,2022-01-28,Gloriashire
310,Mrs. Renee Fox,silver,301,2022-10-21,Port Benjamin
311,Darren James,bronze,354,2023-12-19,Lake Anthony
312,Erin Flores,bronze,381,2021-05-22,Christopherfort
313,Zachary Gross,gold,850,2023-06-29,Williamport
314,John Smith,silver,448,2023-07-31,Nataliebury
315,Derek Jones,silver,439,2022-06-03,Peckchester
316,Roy Figueroa,silver,474,2023-03-19,Penaland
317,David Harvey,gold,447,2021-10-05,Kevinberg
318,Justin Wright,silver,478,2021-09-15,Adamhaven
319,Joyce Hernandez,gold,838,2024-04-16,Murrayview
320,Curtis Cain,gold,811,2024-03-30,East Gregory
321,Melinda Harrison,gold,318,2023-08-05,Frankview
322,Adam Ramirez,bronze,678,2023-12-19,Mccoyville
323,Oscar Bates,bronze,364,2024-12-18,Nelsonfort
324,Edward Levy,silver,471,2021-12-16,Brianburgh
325,Deborah Kelley,bronze,745,2025-05-20,Hannafort
326,Joan Dunn,bronze,796,2024-05-04,New Matthew
327,Mr. Jerry Swanson,silver,762,2024-02-11,Jenniferton
328,Morgan Campbell,gold,791,2022-07-10,Hansenburgh
329,Christopher Delgado,silver,331,2022-03-27,South Gene
330,Robert Collins,bronze,727,2022-02-12,South Robertview
331,Jeffrey Moore,gold,441,2026-01-14,New Christophertown
332,Christine Torres,silver,820,2023-01-01,West Nicolebury
333,David French,gold,702,2023-07-22,Nelsonside
334,Christopher Logan,bronze,493,2023-10-09,North Heather
335,Joyce Miller,silver,767,2022-04-06,New Elizabethland
336,Phillip Jones,gold,769,2024-03-03,South Jessicaville
337,Sandra Odom,gold,408,2025-06-17,Ericstad
338,Kimberly Carson,bronze,766,2025-09-19,North Sarah
339,Amy Baldwin,silver,789,2021-09-16,Lake Candice
340,Rebecca Stewart,gold,792,2022-10-15,East Chrisville
341,Leslie White,silver,842,2024-08-30,Johnsonborough
342,Melissa Chavez,bronze,599,2022-02-24,Coxmouth
343,Claudia Cole,silver,558,2026-02-14,Davidborough
344,Kimberly Edwards,silver,357,2026-01-18,Dianeberg
345,Adam Flowers,gold,777,2023-01-11,Lake Jessicatown
346,Ruben Lowe,gold,638,2025-03-20,Lake Alejandro
347,Paul Howard,bronze,599,2023-06-14,New Rachel
348,Michael Mcdonald,gold,654,2022-12-01,Oliviafort
349,Cameron Lucero,gold,314,2021-11-21,South Kayla
350,John Adams,silver,778,2023-07-13,Port Christopher
351,Phillip Douglas,gold,744,2023-10-19,South Jessicamouth
352,Chad Chapman MD,gold,338,2021-09-13,West Laurenfort
353,Madison Anderson,silver,550,2023-11-03,Alexandrafurt
354,Philip Vang,gold,308,2022-11-10,Jenniferside
355,Ryan Wilson,silver,559,2022-12-21,Katelynberg
356,Scott Maldonado,bronze,735,2025-04-15,Port Reginaside
357,Heather Butler,bronze,580,2024-02-28,Christinechester
358,Zachary Becker,silver,431,2025-05-31,Millsbury
359,Melissa Moran,gold,820,2023-07-21,Zacharyville
360,Tony Shea,gold,749,2021-09-19,Pamelahaven
361,Anna Mccullough,gold,309,2024-03-04,West Jason
362,Christine Santos,silver,617,2021-08-21,Christopherville
363,Jessica Brady,gold,791,2021-07-24,Port Michelleport
364,Maria Roach,gold,618,2023-09-11,West Markview
365,Kathleen Sanford,silver,631,2025-08-17,Mcfarlandfurt
366,Margaret Rose,silver,786,2025-03-22,North Erictown
367,Margaret Powell,silver,411,2022-11-17,New Whitneyborough
368,Meredith Peterson,silver,531,2023-08-10,Kevintown
369,Laura Welch,gold,340,2024-05-14,West Shawna
370,Jacob Mccarty,silver,626,2022-04-04,Nicholsonview
371,Lauren Miller,bronze,360,2023-11-24,West Charlesside
372,Lisa Perry,silver,746,2023-07-19,Rossburgh
373,Christine Gregory,silver,561,2021-12-23,Reesetown
374,Robert Olsen,bronze,550,2021-07-31,Port Jacquelineside
375,Matthew Kelly,silver,755,2021-12-16,Bauerfort
376,Samantha Terry,bronze,473,2024-09-11,Port Matthew
377,Anita Norman,bronze,470,2024-08-26,West Stephen
378,Daniel Schmitt,gold,774,2022-08-07,South Adam
379,Mrs. Madison Acosta,gold,727,2022-09-24,Crystalchester
380,Rebecca Wilkins,gold,649,2024-07-29,New Reginaland
381,Ethan Scott,gold,731,2021-08-17,New Benjaminland
382,Donna Atkins,bronze,687,2023-12-28,Lauraport
383,Carl Carey,gold,416,2021-11-01,North Nicolebury
384,Lindsey Allen,bronze,783,2024-12-07,Gavinstad
385,Mary Kelly,gold,764,2025-07-07,South Cameron
386,Brian Lara,bronze,669,2023-09-26,Cohenberg
387,Samantha Obrien,gold,784,2025-05-01,South Michaelhaven
388,Erica Maxwell,gold,357,2025-11-26,Lake Lisa
389,Jonathan Fields,bronze,661,2023-02-06,South Matthew
390,Katherine Sanchez,bronze,766,2024-08-16,North Brendaberg
391,Karen Martinez,gold,691,2026-02-23,Nielsenville
392,Sharon Collier,gold,607,2023-03-24,East Kristiberg
393,Jennifer Anderson,bronze,685,2021-06-17,Smithland
394,Maureen Montgomery,bronze,532,2023-02-28,Barrettmouth
395,Travis Taylor,silver,820,2024-01-11,New Nancytown
396,Lorraine Kirk,bronze,654,2024-12-31,East Bob
397,Lee Rodriguez,bronze,751,2022-08-28,Jefferyland
398,Sandra Carr,gold,797,2021-06-03,East Aaronburgh
399,Brian Moore,silver,673,2021-10-09,East Ian
400,Andrew Nixon,gold,630,2022-07-04,West Kimberly
401,Tyler Jones,bronze,520,2023-11-20,Garciamouth
402,Richard Miller,gold,322,2023-11-09,Brittanychester
403,Jared Castaneda,silver,746,2025-07-28,West Teresaberg
404,Keith Mason,bronze,711,2021-10-22,West Erin
405,Shane Archer,bronze,316,2021-07-05,South Lawrencefurt
406,Gary Kirby,gold,439,2024-03-02,East Justinchester
407,Amanda Padilla,bronze,641,2025-02-13,Luischester
408,Sherri Luna,gold,418,2022-10-29,North Michael
409,Devon Keller,bronze,649,2023-05-03,Robertfort
410,Austin Patrick,gold,390,2023-11-29,Reedview
411,Renee Moreno,gold,449,2024-09-27,Travismouth
412,Kyle Fernandez,silver,374,2023-08-05,Port Tristan
413,Jennifer Sims,bronze,552,2024-07-02,Taylorstad
414,John Mays,bronze,406,2021-12-01,Port Kimberly
415,Margaret May,bronze,705,2023-04-30,Port Amanda
416,Ashley Sanchez,bronze,652,2022-04-18,Floresmouth
417,Kevin Serrano,silver,654,2021-03-23,Woodsville
418,Megan Woods,silver,730,2025-03-17,Port Ambershire
419,Taylor Thomas,gold,754,2026-01-03,South Aaron
420,Susan Patel,bronze,841,2023-09-17,Elliottland
421,Matthew Phillips,bronze,450,2021-09-15,Bakerland
422,Kristie Martinez,gold,383,2024-09-02,Baileystad
423,Denise Herman MD,gold,470,2024-05-30,West Amandaberg
424,Amber Ford,gold,725,2024-03-14,South Corey
425,Virginia Green,bronze,842,2025-01-12,Josephberg
426,Robert Harris,gold,536,2022-01-04,North Jill
427,Vicki Rivera,gold,354,2025-01-05,Mcleanmouth
428,Adrian Collins,gold,445,2023-06-26,Melissaburgh
429,Kevin Santiago,bronze,488,2023-07-15,Jamesfort
430,Sean Scott,bronze,603,2025-01-20,Port Deanna
431,Logan Mcdaniel,bronze,602,2021-12-08,West Samuel
432,Dr. Duane Hines,bronze,619,2026-01-27,Jessicaport
433,Donald Kim,gold,462,2024-05-02,Wendyview
434,Alexander Jones,bronze,537,2024-09-21,Linbury
435,Krista Anderson,silver,324,2025-05-23,New Michelle
436,Sara Thomas,silver,404,2024-01-13,Rachelberg
437,Norma Chapman,bronze,552,2024-03-26,Hallport
438,Eric Hanson,silver,312,2024-07-03,Johnsonburgh
439,Abigail Reid,gold,424,2024-02-17,Millsside
440,David Jones,bronze,382,2025-08-15,North Eddie
441,Amy Khan,bronze,659,2023-07-21,East Ray
442,Mark Bradford,silver,605,2023-04-28,South Gavin
443,Scott Simpson,silver,752,2022-03-28,South Robin
444,Anne Martinez,silver,782,2021-04-07,Ellisontown
445,Tyler Jennings,gold,599,2021-03-30,Wendyburgh
446,Craig Alexander,bronze,440,2024-01-29,South Elizabeth
447,Ricky Mcmillan,gold,435,2023-10-14,Milesville
448,Christopher Beasley,gold,489,2024-08-23,Rodriguezton
449,Cheryl Torres,gold,327,2024-09-07,Port Johnfurt
450,Angel Garcia,silver,576,2026-02-23,Johnstonstad
451,Jennifer Hendrix,silver,467,2022-07-16,New Hannah
452,Emma Brewer,silver,522,2022-12-30,Lake Nicholas
453,Nicolas Stokes,silver,644,2021-11-10,Lake Sabrina
454,Matthew Powell,gold,323,2022-12-26,Durhamfort
455,Jennifer Evans DVM,gold,531,2021-04-25,Lake Michael
456,Bradley Green,gold,400,2023-04-29,Holmesstad
457,Erik Avila,silver,605,2022-03-24,Maxwellberg
458,Sarah Mcdonald,silver,482,2024-06-01,East Nathanielfort
459,Susan Levine,silver,631,2023-02-18,Karenview
460,Albert Guerra,bronze,316,2023-01-16,Maddoxburgh
461,Andrew Bright,silver,443,2024-06-28,Sanfordside
462,Ashley Mason,gold,652,2022-12-22,North Desireeburgh
463,Eddie Valenzuela,gold,607,2022-01-21,Brandonville
464,Holly Martinez,silver,667,2021-09-28,Brittanyside
465,Jessica Stewart,silver,748,2021-03-25,Lake Jason
466,Tony Velez,silver,495,2022-12-29,Melissamouth
467,David Anderson,gold,724,2022-01-24,Lake Robertoside
468,Erin Williams,silver,848,2023-06-17,Lake Thomasfort
469,Yolanda Thompson,bronze,665,2024-07-26,Raymondville
470,Jeffrey Mueller,gold,556,2022-10-16,Markstad
471,Jacob Jones,gold,453,2021-04-08,Kellyborough
